time_s,v_sync
0,0.026378037725988145
30,0.02061124203557785
60,0.02251921199006243
90,0.019032928881373774
120,0.022292299177011695
150,0.018962833554476095
180,0.02594629687702172
210,0.028126962364101803
240,0.02360085771174394
270,0.027783032542745327
300,0.027820021673189078
330,0.025887691338209014
360,0.023541130835886995
390,0.019840372732549634
420,0.03015599156229837
450,0.027423198597307415
480,0.022340929376264706
510,0.022766112461246053
540,0.024807103937447648
570,0.023113164604617008
600,0.023384251004552426
630,0.028925697479656856
660,0.02216086930352388
690,0.01045937348221593
720,0.015128555256721604
750,0.017450981390115045
780,0.013040588792454181
810,0.01693032040243238
840,0.01687156311485686
870,0.03025505055712918
900,0.023942156935740765
930,0.02468515059193466
960,0.021583676381294516
990,0.02367283864605561
1020,0.03578405181724746
1050,0.03193169918782076
1080,0.03282218528895345
1110,0.026324106314509526
1140,0.018720501376567316
1170,0.024766110285008403
1200,0.030738381304572113
1230,0.02602463263267206
1260,0.021938455753987698
1290,0.021277116742331025
1320,0.026652905433078918
1350,0.023079892141628568
1380,0.020034557056164092
1410,0.020500700220477498
1440,0.01812329744290669
1470,0.0305445880519782
1500,0.020905127851362795
1530,0.02304371799816265
1560,0.020677810343306686
1590,0.01940785167330043
1620,0.009621966992601276
1650,0.010068901165567043
1680,0.01720806307490171
1710,0.026491461050053546
1740,0.020057728136926297
1770,0.011456874079566276
1800,0.012048129339511776
1830,0.007768837017675237
1860,0.01815733327821172
1890,0.02569512604357608
1920,0.018354755899817384
1950,0.014200767928336798
1980,0.014867415664677945
2010,0.014821224604648369
2040,0.015775074278916792
2070,0.020968557681203474
2100,0.026065961743930822
2130,0.020004265713755628
2160,0.020467294990164937
2190,0.016456689437769158
2220,0.02138683987646602
2250,0.02396959907516145
2280,0.025348348998937033
2310,0.020087598286314557
2340,0.009004725817264147
2370,0.0033112217726044223
2400,0.008517476336991178
2430,0.010076108680166448
2460,0.010716042676703322
2490,0.019784147874527393
2520,0.014583472920136736
2550,0.011070427611510792
2580,0.016902065516943534
2610,0.017809424458269454
2640,0.012878864734561343
2670,0.012593757375024191
2700,0.023435229017473743
2730,0.012314125338591757
2760,0.01541077269956965
2790,0.012122065753646796
2820,0.027248658771083113
2850,0.027282354346381137
2880,0.02688394334076543
2910,0.01871066057107023
2940,0.03729909901161441
2970,0.033341794239963966
3000,0.033652659815919216
3030,0.030431812369756953
