time_s,a_sync
0,0.10366668869177648
30,0.11698442751570598
60,0.10755600966927943
90,0.10858065296037016
120,0.1065606370078275
150,0.0998805899441187
180,0.10422134254626937
210,0.12161135189880178
240,0.059538141200530144
270,0.031169855933794618
300,0.037829689472956
330,0.025731614736440197
360,0.02682500425725937
390,0.03573478473784842
420,0.047562048074037196
450,0.035114082472517655
480,0.04219248887798675
510,0.03392688178967966
540,0.032485298054299463
570,0.02692073623983369
600,0.027665071637930982
630,0.03233126491554045
660,0.07208669119093303
690,0.1083847991518328
720,0.1108552430810393
750,0.11100755082416498
780,0.1104109198775754
810,0.10399473617548322
840,0.09726116752547129
870,0.11106485465421057
900,0.09979025692323883
930,0.10145213435588836
960,0.1036267903830818
990,0.0963889207727567
1020,0.044698772223261275
1050,0.03870307492421152
1080,0.047671711841736526
1110,0.1150427526834951
1140,0.12500154726060153
1170,0.14530855906812182
1200,0.11802635493990409
1230,0.11889627685470071
1260,0.11557361605073825
1290,0.1180281409876844
1320,0.11118335845670174
1350,0.10362679833187904
1380,0.09605530184892218
1410,0.10158811812057643
1440,0.116932234226973
1470,0.11697663583346962
1500,0.11942103427796114
1530,0.12138245537477373
1560,0.12541878103540838
1590,0.10577753312085804
1620,0.11913146258730961
1650,0.13069608456800344
1680,0.10426996467321428
1710,0.08600918327555408
1740,0.10789754197361182
1770,0.11866355639623243
1800,0.10864019888068334
1830,0.10457969099950631
1860,0.1303079519922833
1890,0.14206442661336782
1920,0.12058360995566554
1950,0.12409036655155908
1980,0.12084497790955971
2010,0.14253912892676224
2040,0.1426789050978785
2070,0.15536609316775885
2100,0.13286173409856555
2130,0.13308723415240478
2160,0.13525965047366437
2190,0.12090147127994508
2220,0.12286730056711394
2250,0.13361943722294117
2280,0.11468837968995432
2310,0.12683417855458723
2340,0.1102036108104185
2370,0.11275184383483759
2400,0.11331770010880439
2430,0.12158065267197074
2460,0.13715389056406016
2490,0.11696765763835983
2520,0.11851542979829752
2550,0.10057164750604636
2580,0.12750134233180174
2610,0.13903271400314476
2640,0.1153051858705433
2670,0.11576206958766458
2700,0.14053650222194536
2730,0.13334228622043762
2760,0.11854630303201877
2790,0.11473469352668111
2820,0.12108444737371044
2850,0.11597840582347803
2880,0.11935791214656448
2910,0.0956212767233034
2940,0.0852034814303439
2970,0.08715050520165446
3000,0.09365546434924048
3030,0.0886503583355248
