11_v,01_v,02_v,00_v,12_v,10_v,11_a,01_a,02_a,12_a,10_a,00_a,v_mean,v_std,a_mean,a_std
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
-0.03427096828818321,-0.3153875470161438,-0.30922043323516846,null,-0.28910142183303833,-0.0967712253332138,0.2141142040491104,0.1884135901927948,0.4431939721107483,0.3235090374946594,0.3483077883720398,null,-0.20895031914114953,0.1190833348733987,0.30350771844387053,0.09290555125130993
-0.1013215184211731,-0.31734636425971985,-0.23562034964561462,-0.13201047480106354,-0.23129454255104065,null,0.2674323618412018,0.456631600856781,0.29225271940231323,0.6245362758636475,null,0.42801037430763245,-0.20351864993572236,0.07786711845696935,0.4137726664543152,0.12856397778542872
-0.07543209195137024,-0.17683547735214233,-0.29333725571632385,-0.11547030508518219,-0.19776347279548645,-0.018610183149576187,0.3578554093837738,0.2948411703109741,0.3372543454170227,0.4251152575016022,0.258946031332016,0.43258678913116455,-0.1462414643416802,0.08895528673287438,0.3510998338460922,0.06326281518630805
-0.05424800142645836,-0.43115678429603577,-0.4659568965435028,-0.10744409263134003,-0.26078590750694275,-0.13906946778297424,0.25781726837158203,0.32369711995124817,0.3929124176502228,0.31759050488471985,0.2668258249759674,0.4046568274497986,-0.24311019169787565,0.15823679268766805,0.3272499938805898,0.056097064656950836
-0.02834334596991539,-0.36893966794013977,-0.1390133798122406,-0.08809283375740051,-0.23094519972801208,-0.16583490371704102,0.258334755897522,0.2626799941062927,0.43335217237472534,0.25930291414260864,0.2897281050682068,0.48004311323165894,-0.17019488848745823,0.10881482062927195,0.33057350913683575,0.09081155191050352
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
-0.03150603547692299,-0.44303256273269653,-0.17494994401931763,-0.14654751121997833,-0.19925500452518463,-0.12769648432731628,0.29792290925979614,0.368782639503479,0.3605521321296692,0.245735302567482,0.24659763276576996,0.404235303401947,-0.1871645903835694,0.12594944981175177,0.32063765327135724,0.06124801874635508
-0.019026417285203934,-0.3847416937351227,-0.38877639174461365,-0.148071750998497,-0.23409312963485718,-0.14052338898181915,0.2183982878923416,0.34864044189453125,0.25619491934776306,0.23893365263938904,0.28640973567962646,0.4076494574546814,-0.21920546206335226,0.1339780518575928,0.29270441581805545,0.06598795794279698
-0.11188343167304993,-0.2945291996002197,-0.3023647367954254,null,-0.3969568908214569,-0.0633731335401535,0.20984458923339844,0.3855718672275543,0.25402045249938965,0.22465962171554565,0.3616238832473755,null,-0.2338214784860611,0.1256330322612246,0.2871440827846527,0.07240436988049445
-0.02189880982041359,-0.2484811246395111,-0.3402923345565796,null,-0.2524885833263397,-0.047974344342947006,0.24662980437278748,0.16575008630752563,0.27766233682632446,0.32691845297813416,0.3729068338871002,null,-0.1822270393371582,0.12493186401313366,0.2779735028743744,0.07068884631090765
-0.09691442549228668,-0.24422821402549744,-0.2634260356426239,-0.15701505541801453,-0.3545241355895996,-0.08467057347297668,0.21053247153759003,0.17650680243968964,0.3609982430934906,0.3856107294559479,0.2730746865272522,0.41462233662605286,-0.20012973994016647,0.0962910710239003,0.30355754494667053,0.08952867971982542
-0.0549316443502903,-0.131111741065979,-0.34217995405197144,-0.1093754917383194,-0.14532355964183807,-0.16700010001659393,0.11669179797172546,0.07319000363349915,0.39587700366973877,0.2625707983970642,0.2847442328929901,0.4553697407245636,-0.15832041514416537,0.08932500641700661,0.26474059621493023,0.13696176947059657
-0.09416140615940094,-0.2923429310321808,-0.3878891170024872,-0.10814931988716125,-0.34715309739112854,-0.11694839596748352,0.18282991647720337,0.3540283441543579,0.4106307029724121,0.3447125554084778,0.31794092059135437,0.44293802976608276,-0.2244407112399737,0.12140524795879361,0.3421800782283147,0.08262814137762177
-0.039982859045267105,-0.27802151441574097,-0.293349951505661,-0.1192188560962677,-0.2500746548175812,-0.18024517595767975,0.20517973601818085,0.3128441870212555,0.3537960946559906,0.23023299872875214,0.3057088553905487,0.4624520540237427,-0.1934821686396996,0.0908987349946378,0.31170232097307843,0.0841812576704765
0.054833460599184036,-0.36891746520996094,-0.3025696575641632,-0.12208099663257599,-0.15343298017978668,-0.020437631756067276,0.20463566482067108,0.2892076075077057,0.3675149977207184,0.3834346830844879,0.29295575618743896,0.4656029939651489,-0.15210087845722833,0.1475975862434789,0.33389195054769516,0.08297835112052634
