start_time,arousal_sync
0,0.08576860649590987
30,0.10349494393760943
60,0.10327319192586916
90,0.10215102412471339
120,0.10149899774500132
150,0.09657498031970839
180,0.10728880505306604
210,0.12677565337520005
240,0.039983990653278116
270,0.0
300,0.0
330,0.0
360,0.0
390,0.0
420,0.0
450,0.0
480,0.0
510,0.0
540,0.0
570,0.0
600,0.0
630,0.0
660,0.05138489450406555
690,0.08914342027609132
720,0.08364016619488855
750,0.0945059648959878
780,0.09826955143913706
810,0.10553507083377914
840,0.09051506847594554
870,0.10318836744255631
900,0.08767079704474695
930,0.09932350175603567
960,0.10154624403085218
990,0.10583204584957753
1020,0.017828128400265774
1050,0.0
1080,0.009232616418009217
1110,0.11620427299724961
1140,0.12262872648959058
1170,0.13595585057658524
1200,0.12317262513721157
1230,0.1121217889302989
1260,0.11170461576648642
1290,0.11529078851588369
1320,0.11289368189385453
1350,0.10718908594388467
1380,0.10118831149264576
1410,0.09694398575804292
1440,0.11317371163856298
1470,0.109821714325644
1500,0.1087638520061464
1530,0.10799248720691247
1560,0.1112527635745806
1590,0.08901870309804215
1620,0.10536220786523111
1650,0.11184232084543737
1680,0.1024756189306757
1710,0.08141594960324668
1740,0.10531640018641247
1770,0.1127168861838288
1800,0.10022531393149407
1830,0.10422394467829059
1860,0.11767938039056908
1890,0.14466894599538938
1920,0.12195621563981347
1950,0.12598602169361733
1980,0.13629205959850657
2010,0.14515429562841897
2040,0.15992721445976307
2070,0.15423275007715634
2100,0.12908404925538816
2130,0.11725870654838993
2160,0.09781261011322546
2190,0.08220967167278076
2220,0.10349096766714398
2250,0.1458947641844367
2280,0.11541443385691755
2310,0.12284946197151447
2340,0.10945208384451537
2370,0.10711261247052296
2400,0.10969612504922391
2430,0.12573140878739775
2460,0.14295141888864912
2490,0.11695013098336865
2520,0.10539993453238584
2550,0.09807333006492569
2580,0.10971640529457999
2610,0.1343002958313429
2640,0.11272927035121584
2670,0.11689757240750302
2700,0.13960975727304445
2730,0.12394281496941889
2760,0.11175476628843992
2790,0.10924637757220054
2820,nan
2850,nan
2880,nan
2910,nan
2940,nan
2970,nan
3000,nan
3030,nan
