time,01,02,10,11,00,00,avg
40,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0
640,0,0,0,0,0,0,0
680,0,0,0,0,0,0,0
720,0,0,0,0,0,0,0
760,0,0,0,0,0,0,0
800,0,0,0,0,0,0,0
840,0,0,0,0,0,0,0
880,0,0,0,0,0,0,0
920,0,0,0,0,0,0,0
960,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0
1040,0,0,0,0,0,0,0
1080,0,0,0,0,0,0,0
1120,0,0,0,0,0,0,0
1160,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0
1240,0,0,0,0,0,0,0
1280,0,0,0,0,0,0,0
1320,0,0,0,0,0,0,0
1360,0,0,0,0,0,0,0
1400,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0
1520,0,0,0,0,0,0,0
1560,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,0
1640,0,0,0,0,0,0,0
1680,0,0,0,0,0,0,0
1720,0,0,0,0,0,0,0
1760,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0
1840,0,0,0,0,0,0,0
1880,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0
2080,0,0,0,0,0,0,0
2120,0,0,0,0,0,0,0
2160,0,0,0,0,0,0,0
2200,0,0,0,0,0,0,0
2240,0,0,0,0,0,0,0
2280,0,0,0,0,0,0,0
2320,0,0,0,0,0,0,0
2360,0,0,0,0,0,0,0
2400,0,0,0,0,0,0,0
2440,0,0,0,0,0,0,0
2480,0,0,0,0,0,0,0
2520,0,0,0,0,0,0,0
2560,0,0,0,0,0,0,0
2600,0,0,0,0,0,0,0
2640,0,0,0,0,0,0,0
2680,0,0,0,0,0,0,0
2720,0,0,0,0,0,0,0
2760,0,0,0,0,0,0,0
2800,0,0,0,0,0,0,0
2840,0,0,0,0,0,0,0
2880,0,0,0,0,0,0,0
2920,0,0,0,0,0,0,0
2960,0,0,0,0,0,0,0
3000,0,0,0,0,0,0,0
3040,0,0,0,0,0,0,0
3080,0,0,0,0,0,0,0
3120,0,0,0,0,0,0,0
3160,0,0,0,0,0,0,0
3200,0,0,0,0,0,0,0
3240,0,0,0,0,0,0,0
3280,0,0,0,0,0,0,0
3320,0,0,0,0,0,0,0
3360,0,0,0,0,0,0,0
3400,0,0,0,0,0,0,0
3440,0,0,0,0,0,0,0
3480,0,0,0,0,0,0,0
3520,0,0,0,0,0,0,0
3560,0,0,0,0,0,0,0
3600,0,0,0,0,0,0,0
3640,0,0,0,0,0,0,0
3680,0,0,0,0,0,0,0
3720,0,0,0,0,0,0,0
3760,0,0,0,0,0,0,0
3800,0,0,0,0,0,0,0
3840,0,0,0,0,0,0,0
3880,0,0,0,0,0,0,0
3920,0,0,0,0,0,0,0
3960,0,0,0,0,0,0,0
4000,0,0,0,0,0,0,0
4040,0,0,0,0,0,0,0
4080,0,0,0,0,0,0,0
4120,0,0,0,0,0,0,0
4160,0,0,0,0,0,0,0
4200,0,0,0,0,0,0,0
4240,0,0,0,0,0,0,0
4280,0,0,0,0,0,0,0
4320,0,0,0,0,0,0,0
4360,0,0,0,0,0,0,0
4400,0,0,0,0,0,0,0
4440,0,0,0,0,0,0,0
4480,0,0,0,0,0,0,0
4520,0,0,0,0,0,0,0
4560,0,0,0,0,0,0,0
4600,0,0,0,0,0,0,0
4640,0,0,0,0,0,0,0
4680,0,0,0,0,0,0,0
4720,0,0,0,0,0,0,0
4760,0,0,0,0,0,0,0
4800,0,0,0,0,0,0,0
4840,0,0,0,0,0,0,0
4880,0,0,0,0,0,0,0
4920,0,0,0,0,0,0,0
4960,0,0,0,0,0,0,0
5000,0,0,0,0,0,0,0
5040,0,0,0,0,0,0,0
5080,0,0,0,0,0,0,0
5120,0,0,0,0,0,0,0
5160,0,0,0,0,0,0,0
5200,0,0,0,0,0,0,0
5240,0,0,0,0,0,0,0
5280,0,0,0,0,0,0,0
5320,0,0,0,0,0,0,0
5360,0,0,0,0,0,0,0
5400,0,0,0,0,0,0,0
5440,0,0,0,0,0,0,0
5480,0,0,0,0,0,0,0
5520,0,0,0,0,0,0,0
5560,0,0.0702909,0,0,0,0,0.01171515
5600,0,0.0706571,0,0,0,0,0.011776183
5640,0,0.159011,0,0.342445,0,0,0.083576
5680,0,0.111671,0,0.375244,0,0,0.0811525
5720,0,0.172776,0,0.323127,0,0,0.0826505
5760,0,0.0735303,0,0.190555,0,0,0.044014217
5800,0,0.0589717,0,0.483648,0,0,0.090436617
5840,0,0.0687625,0,0.13506,0,0,0.033970417
5880,0,0.0442542,0,0.170893,0,0,0.035857867
5920,0,0.0300832,0,0.308364,0,0,0.056407867
5960,0,0.0262772,0,0.382625,0,0,0.068150367
6000,0,0.0234248,0,0.39108,0,0,0.069084133
6040,0,0.0153229,0,0.440279,0,0,0.07593365
6080,0,0.0230707,0,0.398497,0,0,0.070261283
6120,0,0.0175095,0,0.499227,0,0,0.08612275
6160,0,0.0165388,0,0.482074,0,0,0.083102133
6200,0,0.026821,0,0.221634,0,0,0.041409167
6240,0,0.0454893,0,0.102299,0,0,0.024631383
6280,0,0.0226126,0,0.459623,0,0,0.0803726
6320,0,0.0383349,0,0.50382,0,0,0.09035915
6360,0,0.0394916,0,0.232552,0,0,0.0453406
6400,0,0.050151,0,0.175345,0,0,0.037582667
6440,0,0.0198384,0,0.772764,0,0,0.1321004
6480,0,0.0184214,0,0.875188,0,0,0.1489349
6520,0,0.0118269,0,1.18394,0,0,0.199294483
6560,0,0.0106518,0,1.14729,0,0,0.1929903
6600,0,0,0,0.0862228,0,0,0.014370467
6640,0,0,0,0.194943,0,0,0.0324905
6680,0,0,0,0.20784,0,0,0.03464
6720,0,0,0,0.202768,0,0,0.033794667
6760,0,0,0,0.388628,0,0,0.064771333
6800,0,0,0,0.394609,0,0,0.065768167
6840,0,0,0,0.207245,0,0.24004,0.0745475
6880,0,0,0,0.204187,0,0.228193,0.072063333
6920,0,0,0,0.303257,0,0.0956008,0.0664763
6960,0,0,0,0.340277,0,0.0666277,0.06781745
7000,0,0,0,0.18872,0,0.0667043,0.042570717
7040,0,0,0,0.16395,0,0.0606014,0.037425233
7080,0,0,0,0.229001,0,0.0816315,0.051772083
7120,0,0,0,0.23628,0,0.0864679,0.053791317
7160,0,0,0,0.357185,0,0.12348,0.080110833
7200,0,0,0,0.33025,0,0.10451,0.07246
7240,0,0,0,0.0862795,0,0.069829,0.026018083
7280,0,0,0,0.0436685,0,0.0915221,0.022531767
7320,0,0,0,0.270613,0,0.505646,0.1293765
7360,0,0,0,0.223972,0,0.429734,0.108951
7400,0,0,0,0.0598757,0,0.493701,0.092262783
7440,0,0,0,0.101856,0,0.484882,0.097789667
7480,0,0,0,0.186621,0,0.642515,0.138189333
7520,0,0,0,0.245623,0,0.55013,0.1326255
7560,0,0,0,0.0764334,0,0.384987,0.0769034
7600,0,0,0,0.0660327,0,0.375241,0.073545617
7640,0,0,0,0.191327,0,0.429248,0.103429167
