start_time,rppg_sync
0.04,-0.01350152293678072
30.04,-0.004316915962542111
60.04,-0.3656225849118925
90.04,-0.4627394069336471
120.04,0.07700007203553336
150.04,-0.18027294192464288
180.04,-0.301797135361244
210.04,-0.09220522830107723
240.04,0.04454253629348145
270.04,0.0
300.04,0.0
330.04,0.0
360.04,0.0
390.04,0.0
420.04,0.0
450.04,0.0
480.04,0.0
510.04,0.0
540.04,0.0
570.04,0.0
600.04,0.0
630.04,0.0
660.04,0.012613561066949115
690.04,-0.04342984379737957
720.04,0.5715527629317377
750.04,0.13229527053337062
780.04,0.07080542136297044
810.04,0.24064595656427215
840.04,-0.3069784257435863
870.04,-0.12954151935971236
900.04,-0.06613132250374122
930.04,0.05636668479682066
960.04,-0.17412176155248665
990.04,-0.051366816867271924
1020.04,-0.1074179852495369
1050.04,0.0
1080.04,0.0
1110.04,0.07259695966557853
1140.04,-0.1480006901470355
1170.04,0.34558501440323025
1200.04,-0.17529972986281664
1230.04,-0.255465511216355
1260.04,-0.15212867729562288
1290.04,0.043043274842955996
1320.04,0.08752876488710065
1350.04,-0.33833043896773896
1380.04,-0.25794225692677375
1410.04,-0.24156063610455517
1440.04,-0.028723068008438015
1470.04,-0.049778077341603014
1500.04,0.5819354266248572
1530.04,-0.23064743930698342
1560.04,-0.4263598700127407
1590.04,-0.0815668981169442
1620.04,0.05965821333578998
1650.04,-0.2585440846960935
1680.04,-0.23373422665831298
1710.04,-0.3560916061920626
1740.04,0.012328641883007817
1770.04,-0.013812611256471246
1800.04,0.27468961566712774
1830.04,0.1459544308391583
1860.04,0.011595875694291552
1890.04,-0.2288620775811574
1920.04,0.06375486029677992
1950.04,0.08502028874999869
1980.04,-0.2888577497250937
2010.04,-0.3130375733846928
2040.04,-0.32626758277285506
2070.04,0.18409205096931694
2100.04,-0.3709363076816504
2130.04,-0.16494171929693588
2160.04,0.26101652189741026
2190.04,-0.06299250337129123
2220.04,0.18482681413549087
2250.04,0.1138302118050724
2280.04,-0.02798177911501165
2310.04,0.034597335771131686
2340.04,-0.25020356136992317
2370.04,0.08591057480395366
2400.04,0.1479713327635262
2430.04,-0.22160455349692346
2460.04,0.1546061887362677
2490.04,-0.07273585931018853
2520.04,-0.12220872677959203
2550.04,0.18656137927458133
2580.04,-0.07021971453700727
2610.04,-0.1822854603414149
2640.04,0.09346628871536561
2670.04,0.0950951014120911
2700.04,-0.21255409605716932
2730.04,0.20563321202371868
2760.04,0.26133336056144096
2790.04,-0.30007249769887384
2820.04,0.2658595241223682
2850.04,0.1451062550614326
2880.04,0.012647941826862486
2910.04,0.07105771527344054
2940.04,0.038211714646829834
2970.04,0.07462715488829708
3000.04,0.16739356007953532
3030.04,0.14964085884059466
