time_s,a_mean,a_std,user00,user10,user01
0.0,,,,,
1.0,0.24438201387723288,0.09717657104512724,0.2419780343770981,0.148429736495018,0.3427382707595825
2.0,0.2191525548696518,0.07247955345019753,0.21439947187900546,0.1491665244102478,0.2938916683197021
3.0,0.2841578622659047,0.01613616851416955,0.27158698439598083,0.2785329818725586,0.3023536205291748
4.0,0.2446934332450231,0.06642323365974939,0.2348485589027405,0.18374209105968475,0.31548964977264404
5.0,0.25188219547271723,0.03530985377889473,0.2388248443603516,0.22496068477630607,0.2918610572814941
6.0,0.1980888992547989,0.05369552326884328,0.19423353672027588,0.14642496407032013,0.25360819697380066
7.0,0.24636120597521463,0.09783161747537965,0.16903896629810333,0.3563453853130341,0.21369926631450653
8.0,0.1545383185148239,0.06382182222441447,0.08220219612121582,0.20290634036064148,0.17850641906261444
9.0,0.227062260111173,0.030933998472442062,0.2478075027465821,0.2418717443943024,0.19150753319263453
10.0,0.16699547320604324,0.024932231654422557,0.14936572313308716,,0.18462522327899933
11.0,0.21381286531686783,0.09074008911166571,0.1496499329805374,,0.27797579765319824
12.0,0.09522467851638794,0.15526173994507148,0.0020186901092529297,0.009197771549224857,0.27445757389068604
13.0,0.2218074252208074,0.0427289686982977,0.2183621376752853,0.1809054017066956,0.2661547362804413
14.0,0.1516089290380478,0.11178029370547252,0.040143489837646484,0.1509818583726883,0.2637014389038086
15.0,0.22211339076360068,0.05984124296976577,0.25364798307418823,0.15309995412826538,0.2595922350883484
16.0,0.16588436563809714,0.0798671301242751,0.12384352087974547,0.1158190369606018,0.2579905390739441
17.0,0.2922328362862269,0.08326640412795443,0.20238853991031647,0.30750206112861633,0.3668079078197479
18.0,0.12847871581713358,0.10863701612282964,0.1904977560043335,0.0030381083488464355,0.19190028309822085
19.0,0.2301631967226664,0.038165268083546804,0.1869708001613617,0.2441830933094025,0.2593356966972351
20.0,0.1605886568625768,0.01297452694261066,0.14954227209091187,0.15734706819057465,0.1748766303062439
21.0,0.22467863559722903,0.008455800460762776,0.23432119190692904,0.2211864143610001,0.218528300523758
22.0,0.23651020228862762,0.042670532423891835,0.2577003538608551,0.18739230930805206,0.2644379436969757
23.0,0.2738593916098277,0.050915795293823424,0.24176594614982605,0.2472455203533173,0.3325667083263397
24.0,0.2530868152777354,0.05444353996395488,0.29162168502807617,0.1908031404018402,0.2768356204032898
25.0,0.20537127057711282,0.0348210086753576,0.16576646268367767,0.2191655933856964,0.2311817556619644
26.0,0.24368296066919962,0.1572009957646896,0.3801780939102173,0.07180643081665039,0.2790643572807312
27.0,0.1921312908331553,0.09652242040918221,0.09116768836975098,0.28349512815475464,0.20173105597496035
28.0,0.21997610727945963,0.11577013383666492,0.2914600670337677,0.08640643954277039,0.2820618152618408
29.0,0.22684693336486816,0.08887834946786298,0.29962313175201416,0.2531252503395081,0.12779241800308228
30.0,0.24387952188650766,0.025372459806136838,0.2297888845205307,0.2286795675754547,0.2731701135635376
31.0,0.21184499561786652,0.047027619302106284,0.2593522369861603,0.2108706086874008,0.16531214118003845
32.0,0.19205609460671744,0.05614118538320598,0.1459343135356903,0.1756655126810074,0.2545684576034546
33.0,0.20934065183003744,0.10075065202135917,0.18638472259044647,0.12204886972904205,0.3195883631706238
34.0,0.24036893248558044,0.0777109013211928,0.30555260181427,0.15437015891075134,0.26118403673172
35.0,0.22490603725115457,0.11357917542637569,0.3234222233295441,0.1006736159324646,0.2506222724914551
36.0,0.2508985797564189,0.07130514627858492,0.3165203034877777,0.1750207245349884,0.2611547112464905
37.0,0.25182755788167316,0.08043998981801675,0.32329148054122925,0.16471201181411746,0.26747918128967285
38.0,0.2476145327091217,0.08418563613746446,0.25246500968933105,0.16110852360725406,0.32927006483078003
39.0,0.20414345463116965,0.05697267264434641,0.14798130095005035,0.2025556117296219,0.2618934512138367
40.0,0.26292893787225086,0.03883194566715042,0.2367704063653946,0.2444690465927124,0.30754736065864563
41.0,0.26554738481839496,0.10748054027688775,0.3261353671550751,0.14145100116729736,0.3290557861328125
42.0,0.24012390772501627,0.055448212508575984,0.20263275504112244,0.21392157673835754,0.30381739139556885
43.0,0.22327640652656555,0.06020333114083758,0.2885110080242157,0.16985583305358887,0.2114623785018921
44.0,0.24134660263856253,0.08153750308579208,0.2450038194656372,0.1580420285463333,0.32099395990371704
