time_s,rppg_mean,rppg_std,user00,user10,user01
84.28,-0.045685367,0.065985181,0,-0.0157201,-0.121336
84.32,-0.0122903,0.054072364,0,-0.0714499,0.034579
84.36,0.007140567,0.108070221,0,-0.0971823,0.118604
84.4,-0.014383167,0.075811556,0,-0.096356,0.0532065
84.44,0.057566033,0.160286081,0,-0.0659869,0.238685
84.48,0.062626733,0.148722102,0,-0.0445398,0.23242
84.52,0.058051133,0.121238117,0,-0.0232466,0.1974
84.56,-0.001790067,0.014092427,0,-0.016692,0.0113218
84.6,-0.001322817,0.010317373,0,-0.0122378,0.00826935
84.64,-0.004087277,0.006080246,0,-0.0110746,-0.00118723
84.68,0.00256264,0.007675586,0,-0.00350378,0.0111917
84.72,-0.0024373,0.015191107,0,0.0113878,-0.0186997
84.76,-0.0207549,0.048261746,0,0.0136574,-0.0759221
84.8,0.00228939,0.009580906,0,0.0128076,-0.00593943
84.84,-0.039161533,0.080157017,0,0.0138864,-0.131371
84.88,0.048038133,0.074590173,0,0.0101464,0.133968
84.92,-0.025791613,0.052207113,0,0.00850026,-0.0858751
84.96,0.0496613,0.067012861,0,0.0231009,0.125883
85,0.006167367,0.029687758,0,0.0384544,-0.0199523
85.04,0.041941033,0.040316417,0,0.0454151,0.080408
85.08,0.016260923,0.029124082,0,0.0498845,-0.00110173
85.12,0.0279925,0.024536126,0,0.0457751,0.0382024
85.16,0.032078433,0.028740346,0,0.0554823,0.040753
85.2,0.024870267,0.025495882,0,0.0509488,0.023662
85.24,0.0177804,0.015416256,0,0.0259263,0.0274149
85.28,-0.019666367,0.086518388,0,-0.114325,0.0553259
85.32,0.036707533,0.040231022,0,0.0304046,0.079718
85.36,0.085151267,0.081917961,0,0.163399,0.0920548
85.4,0.097517633,0.104672216,0,0.208115,0.0844379
85.44,0.079549933,0.088039473,0,0.174141,0.0645088
85.48,0.046822867,0.052034728,0,0.102843,0.0376256
85.52,0.022636067,0.027038284,0,0.052576,0.0153322
85.56,0.013097313,0.02530965,0,0.0422717,-0.00297976
85.6,-0.00767205,0.009115477,0,-0.00526735,-0.0177488
85.64,-0.002026433,0.032083783,0,0.0289961,-0.0350754
85.68,0.011232833,0.044699236,0,0.0604771,-0.0267786
85.72,0.024487067,0.053703345,0,0.0860696,-0.0126084
85.76,0.049781203,0.084410067,0,0.147242,0.00210161
85.8,0.085912743,0.144066436,0,0.252236,0.00550223
85.84,0.098622967,0.196420184,0,0.324813,-0.0289441
85.88,0.100900167,0.218492103,0,0.351608,-0.0489075
85.92,0.080728333,0.211058127,0,0.320235,-0.07805
85.96,0.0754726,0.159118131,0,0.258283,-0.0318652
86,0.087564667,0.078620075,0,0.152094,0.1106
86.04,0.0672725,0.076352073,0,0.0515585,0.150259
86.08,0.0113768,0.041347918,0,-0.0230917,0.0572221
86.12,0.1386888,0.299258319,0,-0.0660646,0.482131
86.16,-0.015458633,0.07506924,0,-0.0970538,0.0506779
86.2,0.080815167,0.214767981,0,-0.0818215,0.324267
86.24,-0.043831667,0.037987867,0,-0.0642755,-0.0672195
86.28,-0.0261504,0.024189935,0,-0.0307244,-0.0477268
86.32,-0.3116095,0.508861212,0,-0.0360045,-0.898824
86.36,-0.37775316,0.647950514,0,-0.00732948,-1.12593
86.4,-0.448560633,0.785865092,0,0.0102981,-1.35598
86.44,-0.252925667,0.547792321,0,0.122705,-0.881482
86.48,-0.011372,0.164044893,0,0.146691,-0.180807
86.52,0.178835,0.204526329,0,0.134669,0.401836
86.56,0.252608467,0.389487242,0,0.0566674,0.701158
86.6,0.052058967,0.091735607,0,-0.0018041,0.157981
86.64,0.126484667,0.318763859,0,-0.109625,0.489079
86.68,-0.052798267,0.116635039,0,-0.186496,0.0281012
86.72,-0.297601933,0.469661589,0,-0.0537748,-0.839031
86.76,-0.452700667,0.602707124,0,-0.221282,-1.13682
86.8,-0.403870333,0.552027721,0,-0.178721,-1.03289
86.84,-0.29698,0.406143382,0,-0.131138,-0.759802
86.88,-0.087882,0.081390129,0,-0.160666,-0.10298
86.92,0.140556367,0.272458783,0,-0.0329209,0.45459
86.96,0.253493333,0.604549119,0,-0.183041,0.943521
87,0.342628667,0.604886429,0,-0.013164,1.04105
87.04,0.217852567,0.45791464,0,-0.0904633,0.744021
87.08,-0.016268627,0.029472278,0,0.00148362,-0.0502895
87.12,-0.013490714,0.022560565,0,-0.000936341,-0.0395358
87.16,-0.031408903,0.046900859,0,-0.00890601,-0.0853207
87.2,-0.064787567,0.098025301,0,-0.0168017,-0.177561
87.24,-0.044762533,0.055678186,0,-0.0271776,-0.10711
87.28,0.124173467,0.205889404,0,0.0106864,0.361834
87.32,0.2381429,0.402556777,0,0.0115007,0.702928
87.36,0.3387601,0.620883628,0,-0.0390597,1.05534
87.4,0.00365819,0.005173149,0,0.0013977,0.00957687
87.44,0.015242333,0.241887949,0,-0.218664,0.264391
87.48,0.0179853,0.018879856,0,0.0163081,0.0376478
87.52,-0.3004642,0.531993268,0,0.0133164,-0.914709
87.56,0.0172863,0.042550219,0,-0.0139003,0.0657592
87.6,-0.3397148,0.57106885,0,-0.0201184,-0.999026
87.64,-0.172166967,0.321282291,0,0.0263391,-0.54284
87.68,-0.003270367,0.036729111,0,0.0317142,-0.0415253
87.72,0.136172833,0.273845336,0,-0.0428925,0.451411
87.76,0.131444033,0.205187097,0,0.0264511,0.367881
87.8,0.036549833,0.048218218,0,0.0184506,0.0911989
87.84,-0.087410167,0.141725006,0,-0.0113005,-0.25093
87.88,-0.143624467,0.219449154,0,-0.0346414,-0.396232
87.92,-0.1791314,0.264737019,0,-0.0541752,-0.483219
87.96,-0.0552789,0.047873705,0,-0.0831904,-0.0826463
88,0.144462767,0.181996081,0,0.0845183,0.34887
88.04,0.253252233,0.49078662,0,-0.0591763,0.818933
88.08,0.344817843,0.59463414,0,0.00301353,1.03144
